Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: 3161.4   ID: 100060291
Report Date: Thu May 21 10:12:01 2026

Location: 40.250771 -111.658446
Street: PROVO - UNIVERSITY AVE & 1230N   City/St: 3161; 4-TSC CCTV   Pole #: LONG111658422
Desc: LAT. 40.250826   Splice#: 3161.4


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB3-10(PROVO_CANYON),96-SMF US-189: 1450 N TO BULLDOG AVE,   8,BL,BK,<->,1230 N DIST,   8,BL,BK,HUB3-6(PROVO_TCC_1325S&350E),CH 3160
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,   9,BL,YL,<->,1230 N DIST,   9,BL,YL,3160.1,
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  10,BL,VI,<->,1230 N DIST,  10,BL,VI,3160.1,
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  11,BL,RO,<->,1230 N DIST,  11,BL,RO,HUB3-6(PROVO_TCC_1325S&350E),
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  12,BL,AQ,<->,1230 N DIST,  12,BL,AQ,HUB3-6(PROVO_TCC_1325S&350E),
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  13,OR,BL,<->,1230 N DIST,  13,OR,BL,HUB3-6(PROVO_TCC_1325S&350E),CH 3156
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  14,OR,OR,<->,1230 N DIST,  14,OR,OR,HUB3-6(PROVO_TCC_1325S&350E),CH 3156
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  15,OR,GR,<->,1230 N DIST,  15,OR,GR,HUB3-6(PROVO_TCC_1325S&350E),CH 3155
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  16,OR,BR,<->,1230 N DIST,  16,OR,BR,HUB3-6(PROVO_TCC_1325S&350E),CH 3155
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  17,OR,SL,<->,1230 N DIST,  17,OR,SL,HUB3-6(PROVO_TCC_1325S&350E),CH 3159
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  18,OR,WH,<->,1230 N DIST,  18,OR,WH,HUB3-6(PROVO_TCC_1325S&350E),CH 3159
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  19,OR,RD,<->,72 DIST: 1230 NUNIVERSITY/CANYON, ,BL,GR, ,
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  20,OR,BK,<->,72 DIST: 1230 NUNIVERSITY/CANYON, ,BL,BR, ,
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  21,OR,YL,<->,1230 N DIST,  21,OR,YL,HUB3-6(PROVO_TCC_1325S&350E),[DTS] DABS 05
3164.1,96-SMF US-189: 1450 N TO BULLDOG AVE,  22,OR,VI,<->,1230 N DIST,  22,OR,VI,HUB3-6(PROVO_TCC_1325S&350E),[DTS] DABS 05
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  25,GR,BL,<->,96-SMF US-189: BULLDOG TO CANYON RD,   1,BL,BL,HUB3-6(PROVO_TCC_1325S&350E),CH 3152
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  26,GR,OR,<->,96-SMF US-189: BULLDOG TO CANYON RD,   2,BL,OR,HUB3-6(PROVO_TCC_1325S&350E),CH 3152
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  27,GR,GR,<->,US189&1230N DROP, ,BL,GR, ,CH 3161
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  28,GR,BR,<->,US189&1230N DROP, ,BL,BR, ,CH 3161
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  29,GR,SL,<->,96-SMF US-189: BULLDOG TO CANYON RD,   5,BL,SL,HUB3-6(PROVO_TCC_1325S&350E),CH 3164
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  30,GR,WH,<->,96-SMF US-189: BULLDOG TO CANYON RD,   6,BL,WH,HUB3-6(PROVO_TCC_1325S&350E),CH 3164
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  31,GR,RD,<->,96-SMF US-189: BULLDOG TO CANYON RD,   7,BL,RD,HUB3-6(PROVO_TCC_1325S&350E),CH 3165
3166.8,96-SMF US-189: 1450 N TO BULLDOG AVE,  32,GR,BK,<->,96-SMF US-189: BULLDOG TO CANYON RD,   8,BL,BK,HUB3-6(PROVO_TCC_1325S&350E),CH 3165
CAB@US189&NO800,96-SMF US-189: 1450 N TO BULLDOG AVE,  33,GR,YL,<->,96-SMF US-189: BULLDOG TO CANYON RD,   9,BL,YL,HUB3-6(PROVO_TCC_1325S&350E),CH 3166
