Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: STATE_OFFICE   ID: 654851126
Report Date: Thu May 21 13:45:27 2026

Location: 40.676379 -111.952771
Street:    City/St:    Pole #: 
Desc:    Splice#: STATE_OFFICE


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 287,AQ-BK,RO,<->,144-SMF: TSOB - I-215,  23,OR,RO,TSOB,
I-215&4700S,288-SMF DIST I-215: COMPLEX - STATE OFFICE, 288,AQ-BK,AQ,<->,144-SMF: TSOB - I-215,  24,OR,AQ,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   5,BL,SL,<->,6 DROP: I-215 SB MP 16.10,   3,BL,GR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,   6,BL,WH,<->,6 DROP: I-215 SB MP 16.10,   4,BL,BR,HUB2-8(I-215&700_W),CH 2302
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  97,YL,BL,<->,UDOT 24-SMF,   1,BL,BL,TSOB,[DTS] CIENA TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  98,YL,OR,<->,UDOT 24-SMF,   2,BL,OR,TSOB,[DTS] CIENA TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S,  99,YL,GR,<->,UDOT 24-SMF,   3,BL,GR,TSOB,[ATMS] GCP TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 100,YL,BR,<->,UDOT 24-SMF,   4,BL,BR,TSOB,[ATMS] GCP TSOB
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 101,YL,SL,<->,UDOT 24-SMF,   5,BL,SL,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 102,YL,WH,<->,UDOT 24-SMF,   6,BL,WH,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 103,YL,RD,<->,UDOT 24-SMF,   7,BL,RD,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 104,YL,BK,<->,UDOT 24-SMF,   8,BL,BK,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 105,YL,YL,<->,UDOT 24-SMF,   9,BL,YL,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 106,YL,VI,<->,UDOT 24-SMF,  10,BL,VI,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 107,YL,RO,<->,UDOT 24-SMF,  11,BL,RO,TSOB,
HUB2-10(3500_S),288-SMF DIST I-215: STATE OFFICE - 4240 S, 108,YL,AQ,<->,UDOT 24-SMF,  12,BL,AQ,TSOB,
