Bentley Splice Report
Device Type: Splice  Model: UDOT SPEC Full  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri May 22 10:16:31 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,   9,BL,YL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RD, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  10,BL,VI,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,BK, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  11,BL,RO,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,YL, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  12,BL,AQ,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,VI, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  13,OR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,RO, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  14,OR,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,GR,AQ, ,
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  15,OR,GR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,BL, ,CH 2009
HUB2-4(200S&1200W),I-215 W 24 N TO N.TEMPLE,  16,OR,BR,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,OR, ,CH 2009
HUB2-6(CALIFORNIA_AVE),I-215 W 24 N TO N.TEMPLE,  17,OR,SL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  23,OR,RO,HUB2-4(200S&1200W),CH 2009
HUB2-6(CALIFORNIA_AVE),I-215 W 24 N TO N.TEMPLE,  18,OR,WH,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  24,OR,AQ,HUB2-4(200S&1200W),CH 2009
STATE_TAX_BLDG,I-215 W 24 N TO N.TEMPLE,  19,OR,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,SL, ,
STATE_TAX_BLDG,I-215 W 24 N TO N.TEMPLE,  20,OR,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,WH, ,
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  21,OR,YL,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  41,BR,SL,HUB2-4(200S&1200W),CH 2454
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  22,OR,VI,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  42,BR,WH,HUB2-4(200S&1200W),CH 2454
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  23,OR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  43,BR,RD,HUB2-4(200S&1200W),[DTS] JORDAN RIVER OHV PARK
HUB2-3(I-215&SR-68),I-215 W 24 N TO N.TEMPLE,  24,OR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD,  44,BR,BK,HUB2-4(200S&1200W),[DTS] JORDAN RIVER OHV PARK


Right ---

HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   1,BL,BL,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   1,BL,BL,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   2,BL,OR,<->,6 DROP (CCTV): I-215 NB & I-80 (NE CORNER),   2,BL,OR,HUB2-6(CALIFORNIA_AVE),CH 2305
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   5,BL,SL,<->,288-SMF I-215 DIST: 500 S - I-80,   7,BL,RD,HUB2-6(CALIFORNIA_AVE),
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   6,BL,WH,<->,288-SMF I-215 DIST: 500 S - I-80,   8,BL,BK,HUB2-6(CALIFORNIA_AVE),
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   7,BL,RD,<->,12-SMF UDOT/CONNEXT TIE,   1,BL,BL,CONNEXT-I215/80,[CONNEXT] 2-04 - I-215 & I-80
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,   8,BL,BK,<->,12-SMF UDOT/CONNEXT TIE,   2,BL,OR,CONNEXT-I215/80,[CONNEXT] 2-04 - I-215 & I-80
2402.4&2305.1,48-SMF I-80 DIST: I-215 - REDWOOD RD,   9,BL,YL,<->,12-SMF UDOT/CONNEXT TIE,   3,BL,GR,CONNEXT-I215/80,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  10,BL,VI,<->,12-SMF UDOT/CONNEXT TIE,   4,BL,BR,CONNEXT-I215/80,[CONNEXT] 2-04 - I-215 & I-80
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  11,BL,RO,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BL,GR, ,CH 2306
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  12,BL,AQ,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BL,BR, ,CH 2306
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  13,OR,BL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BL,SL, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  14,OR,OR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BL,WH, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  15,OR,GR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,GR,GR, ,CH 2402
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  16,OR,BR,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,GR,BR, ,CH 2402
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  17,OR,SL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,RD, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  18,OR,WH,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,BK, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  19,OR,RD,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,YL, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  20,OR,BK,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,VI, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  21,OR,YL,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,RO, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  22,OR,VI,<->,288-SMF I-215 DIST: SR-201 - N TEMPLE, ,BR,AQ, ,
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  23,OR,RO,<->,I-215 W 24 N TO N.TEMPLE,  17,OR,SL,HUB2-6(CALIFORNIA_AVE),CH 2009
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  24,OR,AQ,<->,I-215 W 24 N TO N.TEMPLE,  18,OR,WH,HUB2-6(CALIFORNIA_AVE),CH 2009
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  25,GR,BL,<->,288-SMF I-215 DIST: 500 S - I-80,  39,BR,GR,HUB2-6(CALIFORNIA_AVE),
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  26,GR,OR,<->,288-SMF I-215 DIST: 500 S - I-80,  40,BR,BR,HUB2-6(CALIFORNIA_AVE),
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  37,BR,BL,<->,12-SMF DROP (DTS): ORANGE ST CCC,   1,BL,BL,ORANGE_ST_CCC,[DTS] ORANGE ST CCC
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  38,BR,OR,<->,12-SMF DROP (DTS): ORANGE ST CCC,   2,BL,OR,ORANGE_ST_CCC,[DTS] ORANGE ST CCC
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  39,BR,GR,<->,288-SMF I-215 DIST: 500 S - I-80,  47,BR,RO,SLC-FLEET,[DTS] SLC FLEET
HUB2-4(200S&1200W),48-SMF I-80 DIST: I-215 - REDWOOD RD,  40,BR,BR,<->,288-SMF I-215 DIST: 500 S - I-80,  48,BR,AQ,SLC-FLEET,[DTS] SLC FLEET
